id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,残酷な天使のテーゼ,Yoko Takahashi,anime,energetic,0.773,128.2,0.502,0.691,0.0174
2,Du hast,Rammstein,industrial metal,happy,0.922,125.1,0.716,0.64,0.0037
3,Creep,Radiohead,alternative,moody,0.43,91.8,0.104,0.515,0.0097
4,Wonderwall,Oasis,britpop,energetic,0.896,174.3,0.469,0.378,0.0005
5,Hello You,Arctic Monkeys,indie rock,groovy,0.452,169.3,0.653,0.394,0.276
6,Duvet,bôa,indie pop,happy,0.888,93.2,0.706,0.583,0.191
7,The Passenger,Iggy Pop,rock,happy,0.889,134.9,0.696,0.498,0.0947
8,Disorder,Joy Division,post-punk,happy,0.798,84.7,0.74,0.32,0.0003
9,Are 'Friends' Electric?,Tubeway Army,new wave,energetic,0.714,94.0,0.435,0.428,0.0697
10,Making Plans For Nigel,XTC,new wave,happy,0.893,150.0,0.773,0.632,0.0143
11,オレンジ,Creep Hyp,j-rock,happy,0.807,133.9,0.787,0.565,0.0888
12,Unholy (feat. Kim Petras),Sam Smith;Kim Petras,pop,moody,0.472,131.1,0.238,0.714,0.013
13,I'm Good (Blue),David Guetta;Bebe Rexha,pop,intense,0.965,128.0,0.304,0.561,0.0038
14,Under The Influence,Chris Brown,pop,intense,0.69,117.0,0.31,0.733,0.0635
15,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap;Quevedo,hip hop,energetic,0.782,128.0,0.55,0.621,0.0125
16,Super Freaky Girl,Nicki Minaj,hip hop,happy,0.891,133.0,0.912,0.95,0.0645
17,Jimmy Cooks (feat. 21 Savage),Drake;21 Savage,hip hop,intense,0.673,165.9,0.366,0.529,0.0003
18,Running Up That Hill (A Deal With God),Kate Bush,r&b,moody,0.547,108.4,0.197,0.629,0.72
19,Beat the Odds,Lil Tjay,r&b,groovy,0.625,84.8,0.478,0.498,0.054
20,Evergreen (You Didn’t Deserve Me At All),Omar Apollo,soul,melancholic,0.336,82.0,0.31,0.697,0.598
21,Only Love Can Hurt Like This,Paloma Faith,soul,intense,0.885,91.0,0.304,0.566,0.0958
22,Gangsta's Paradise,Coolio;L.V.,funk,moody,0.514,80.0,0.386,0.647,0.0655
23,Still D.R.E.,Dr. Dre;Snoop Dogg,funk,energetic,0.775,93.4,0.527,0.816,0.16
24,September,"Earth, Wind & Fire",jazz,happy,0.832,125.9,0.979,0.697,0.168
25,Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.;Bill Withers",jazz,groovy,0.497,95.8,0.585,0.749,0.41
26,Experience,Ludovico Einaudi;Daniel Hope;I Virtuosi Italiani,classical,moody,0.449,92.5,0.036,0.447,0.934
27,Nuvole Bianche,Ludovico Einaudi,classical,melancholic,0.058,132.6,0.045,0.191,0.961
28,Ferrari,James Hype;Miggy Dela Rosa,house,happy,0.69,125.0,0.692,0.847,0.0127
29,One Kiss (with Dua Lipa),Calvin Harris;Dua Lipa,house,energetic,0.862,124.0,0.592,0.791,0.037
30,Lost in the Fire (feat. The Weeknd),Gesaffelstein;The Weeknd,techno,intense,0.671,101.0,0.166,0.658,0.0933
31,Where Are You Now,Lost Frequencies;Calum Scott,edm,moody,0.636,121.0,0.262,0.671,0.515
32,Never Gonna Give You Up,Rick Astley,disco,happy,0.939,113.3,0.914,0.721,0.115
33,Yggdrasil,Brothers of Metal,heavy metal,energetic,0.743,87.0,0.481,0.469,0.0022
34,One Night in Tokyo,Beast In Black,heavy metal,happy,0.977,128.0,0.727,0.469,0.0
35,Mary On A Cross,Ghost,hard rock,energetic,0.9,130.0,0.561,0.466,0.0002
36,In the End,Linkin Park,grunge,energetic,0.864,105.1,0.4,0.556,0.0096
37,Atlantis,Seafret,folk,moody,0.479,166.2,0.213,0.4,0.0529
38,Hotel California,Eagles,folk,groovy,0.508,147.1,0.609,0.579,0.0057
39,Something in the Orange,Zach Bryan,country,melancholic,0.192,175.2,0.148,0.369,0.555
40,You Proof,Morgan Wallen,country,energetic,0.85,119.7,0.644,0.731,0.252
41,La Bachata,Manuel Turizo,latin,happy,0.679,125.0,0.85,0.835,0.583
42,Me Porto Bonito,Bad Bunny;Chencho Corleone,latin,energetic,0.712,92.0,0.425,0.911,0.0901
43,Tití Me Preguntó,Bad Bunny,reggae,intense,0.715,106.7,0.187,0.65,0.0993
